Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Lamar Jackson,BAL,QB,25,3,3,56,88,749,10,2,26,243,9.35,2,0,0,0,0,0,1,0,2,0,0,102,102.3,110.3,104.3,50,1,1
Nick Chubb,CLE,RB,27,3,3,0,0,0,0,0,62,341,5.50,4,5,4,28,7.00,0,0,0,4,0,0,61,64.9,67.9,62.9,36,1,2
Josh Allen,BUF,QB,26,3,3,94,132,1014,9,2,19,113,5.95,1,0,0,0,0,0,3,1,1,0,0,88,87.9,96.9,89.9,35,2,3
Stefon Diggs,BUF,WR,29,3,3,0,0,0,0,0,0,0,0,0,35,27,344,12.74,4,0,0,4,0,0,58,85.4,88.4,71.9,33,1,4
Jalen Hurts,PHI,QB,24,3,3,66,98,916,4,1,37,167,4.51,3,0,0,0,0,0,1,0,3,0,0,85,85.3,92.3,86.3,33,3,5
Jaylen Waddle,MIA,WR,24,3,3,0,0,0,0,0,2,17,8.50,0,30,19,342,18.00,3,0,0,3,0,0,54,72.9,75.9,63.4,29,2,6
Cooper Kupp,LAR,WR,29,3,3,0,0,0,0,0,1,20,20.00,1,35,28,280,10.00,3,1,1,4,0,0,52,80.0,84.0,66.0,27,3,7
Mark Andrews,BAL,TE,27,3,3,0,0,0,0,0,1,3,3.00,0,31,22,245,11.14,3,0,0,3,0,0,43,64.8,67.8,53.8,26,1,8
James Robinson,JAX,RB,24,3,3,0,0,0,0,0,51,230,4.51,3,7,6,33,5.50,1,0,0,4,0,0,50,56.3,59.3,53.3,25,2,9
Amon-Ra St. Brown,DET,WR,23,3,3,0,0,0,0,0,2,68,34.00,0,33,23,253,11.00,3,0,0,3,0,0,50,73.1,76.1,61.6,25,4,10
Travis Kelce,KAN,TE,33,3,3,0,0,0,0,0,1,1,1.00,0,24,17,230,13.53,2,0,0,2,1,0,37,54.1,57.1,45.6,21,2,11
Cordarrelle Patterson,ATL,RB,31,3,2,0,0,0,0,0,49,302,6.16,2,7,4,28,7.00,0,0,0,2,0,0,45,49.0,52.0,47.0,20,3,12
Christian Kirk,JAX,WR,26,3,3,0,0,0,0,0,0,0,0,0,27,18,267,14.83,3,0,0,3,0,0,45,62.7,65.7,53.7,19,5,13
